book_id,Name,Description
4833,The Glass Castle ,"A Tender, Moving Tale Of Unconditional Love In A Family That, Despite Its Profound Flaws, Gave The Author The Fiery Determination To Carve Out A Successful Life On Her Own Terms.
Jeannette Walls Grew Up With Parents Whose Ideals And Stubborn Nonconformity Were Both Their Curse And Their Salvation. Rex And Rose Mary Walls Had Four Children. In The Beginning, They Lived Like Nomads, Moving Among Southwest Desert Towns, Camping In The Mountains. Rex Was A Charismatic, Brilliant Man Who, When Sober, Captured His Children'S Imagination, Teaching Them Physics, Geology, And Above All, How To Embrace Life Fearlessly. Rose Mary, Who Painted And Wrote And Couldn'T Stand The Responsibility Of Providing For Her Family, Called Herself An ""Excitement Addict."" Cooking A Meal That Would Be Consumed In Fifteen Minutes Had No Appeal When She Could Make A Painting That Might Last Forever. 
Later, When The Money Ran Out, Or The Romance Of The Wandering Life Faded, The Walls Retreated To The Dismal West Virginia Mining Town -- And The Family -- Rex Walls Had Done Everything He Could To Escape. He Drank. He Stole The Grocery Money And Disappeared For Days. As The Dysfunction Of The Family Escalated, Jeannette And Her Brother And Sisters Had To Fend For Themselves, Supporting One Another As They Weathered Their Parents' Betrayals And, Finally, Found The Resources And Will To Leave Home. 
What Is So Astonishing About Jeannette Walls Is Not Just That She Had The Guts And Tenacity And Intelligence To Get Out, But That She Describes Her Parents With Such Deep Affection And Generosity. Hers Is A Story Of Triumph Against All Odds, But Also A Tender, Moving Tale Of Unconditional Love In A Family That Despite Its Profound Flaws Gave Her The Fiery Determination To Carve Out A Successful Life On Her Own Terms. 
For Two Decades, Jeannette Walls Hid Her Roots. Now She Tells Her Own Story. "
590,"Night (The Night Trilogy, #1) ","Born Into A Jewish Ghetto In Hungary, As A Child, Elie Wiesel Was Sent To The Nazi Concentration Camps At Auschwitz And Buchenwald. This Is His Account Of That Atrocity: The Ever-Increasing Horrors He Endured, The Loss Of His Family And His Struggle To Survive In A World That Stripped Him Of Humanity, Dignity And Faith. Describing In Simple Terms The Tragic Murder Of A People From A Survivor'S Perspective, Night Is Among The Most Personal, Intimate And Poignant Of All Accounts Of The Holocaust. A Compelling Consideration Of The Darkest Side Of Human Nature And The Enduring Power Of Hope, It Remains One Of The Most Important Works Of The Twentieth Century."
4264,"Angela'S Ashes (Frank Mccourt, #1) ","Imbued On Every Page With Frank Mccourt'S Astounding Humor And Compassion. This Is A Glorious Book That Bears All The Marks Of A Classic.

""When I Look Back On My Childhood I Wonder How I Managed To Survive At All. It Was, Of Course, A Miserable Childhood: The Happy Childhood Is Hardly Worth Your While. Worse Than The Ordinary Miserable Childhood Is The Miserable Irish Childhood, And Worse Yet Is The Miserable Irish Catholic Childhood."" 

So Begins The Pulitzer Prize Winning Memoir Of Frank Mccourt, Born In Depression-Era Brooklyn To Recent Irish Immigrants And Raised In The Slums Of Limerick, Ireland. Frank'S Mother, Angela, Has No Money To Feed The Children Since Frank'S Father, Malachy, Rarely Works, And When He Does He Drinks His Wages. Yet Malachy-- Exasperating, Irresponsible And Beguiling-- Does Nurture In Frank An Appetite For The One Thing He Can Provide: A Story. Frank Lives For His Father'S Tales Of Cuchulain, Who Saved Ireland, And Of The Angel On The Seventh Step, Who Brings His Mother Babies. 

Perhaps It Is Story That Accounts For Frank'S Survival. Wearing Rags For Diapers, Begging A Pig'S Head For Christmas Dinner And Gathering Coal From The Roadside To Light A Fire, Frank Endures Poverty, Near-Starvation And The Casual Cruelty Of Relatives And Neighbors--Yet Lives To Tell His Tale With Eloquence, Exuberance And Remarkable Forgiveness. 

Angela'S Ashes, Imbued On Every Page With Frank Mccourt'S Astounding Humor And Compassion, Is A Glorious Book That Bears All The Marks Of A Classic."
3361,"Eat, Pray, Love ","A Celebrated Writer'S Irresistible, Candid, And Eloquent Account Of Her Pursuit Of Worldly Pleasure, Spiritual Devotion, And What She Really Wanted Out Of Life. 

Around The Time Elizabeth Gilbert Turned Thirty, She Went Through An Early-Onslaught Midlife Crisis. She Had Everything An Educated, Ambitious American Woman Was Supposed To Want—A Husband, A House, A Successful Career. But Instead Of Feeling Happy And Fulfilled, She Was Consumed With Panic, Grief, And Confusion. She Went Through A Divorce, A Crushing Depression, Another Failed Love, And The Eradication Of Everything She Ever Thought She Was Supposed To Be. 

To Recover From All This, Gilbert Took A Radical Step. In Order To Give Herself The Time And Space To Find Out Who She Really Was And What She Really Wanted, She Got Rid Of Her Belongings, Quit Her Job, And Undertook A Yearlong Journey Around The World—All Alone. Eat, Pray, Love Is The Absorbing Chronicle Of That Year. Her Aim Was To Visit Three Places Where She Could Examine One Aspect Of Her Own Nature Set Against The Backdrop Of A Culture That Has Traditionally Done That One Thing Very Well. In Rome, She Studied The Art Of Pleasure, Learning To Speak Italian And Gaining The Twenty-Three Happiest Pounds Of Her Life. India Was For The Art Of Devotion, And With The Help Of A Native Guru And A Surprisingly Wise Cowboy From Texas, She Embarked On Four Uninterrupted Months Of Spiritual Exploration. In Bali, She Studied The Art Of Balance Between Worldly Enjoyment And Divine Transcendence. She Became The Pupil Of An Elderly Medicine Man And Also Fell In Love The Best Way—Unexpectedly. 

An Intensely Articulate And Moving Memoir Of Self-Discovery, Eat, Pray, Love Is About What Can Happen When You Claim Responsibility For Your Own Contentment And Stop Trying To Live In Imitation Of Society’S Ideals. It Is Certain To Touch Anyone Who Has Ever Woken Up To The Unrelenting Need For Change"
4535,Into Thin Air: A Personal Account Of The Mount Everest Disaster,"A Bank Of Clouds Was Assembling On The Not-So-Distant Horizon, But Journalist-Mountaineer Jon Krakauer, Standing On The Summit Of Mt. Everest, Saw Nothing That ""Suggested That A Murderous Storm Was Bearing Down."" He Was Wrong. The Storm, Which Claimed Five Lives And Left Countless More--Including Krakauer'S--In Guilt-Ridden Disarray, Would Also Provide The Impetus For Into Thin Air, Krakauer'S Epic Account Of The May 1996 Disaster."
518,Tuesdays With Morrie ,"Maybe It Was A Grandparent, Or A Teacher Or A Colleague. Someone Older, Patient And Wise, Who Understood You When You Were Young And Searching, And Gave You Sound Advice To Help You Make Your Way Through It. For Mitch Albom, That Person Was Morrie Schwartz, His College Professor From Nearly Twenty Years Ago.

Maybe, Like Mitch, You Lost Track Of This Mentor As You Made Your Way, And The Insights Faded. Wouldn'T You Like To See That Person Again, Ask The Bigger Questions That Still Haunt You? 

Mitch Albom Had That Second Chance. He Rediscovered Morrie In The Last Months Of The Older Man'S Life. Knowing He Was Dying Of Als - Or Motor Neurone Disease - Mitch Visited Morrie In His Study Every Tuesday, Just As They Used To Back In College. Their Rekindled Relationship Turned Into One Final 'Class': Lessons In How To Live."
3781,Running With Scissors ,"The True Story Of An Outlaw Childhood Where Rules Were Unheard Of, The Christmas Tree Stayed Up All Year Round, Valium Was Consumed Like Candy, And If Things Got Dull An Electroshock-Therapy Machine Could Provide Entertainment.

Running With Scissors Is The True Story Of A Boy Whose Mother (A Poet With Delusions Of Anne Sexton) Gave Him Away To Be Raised By Her Unorthodox Psychiatrist Who Bore A Striking Resemblance To Santa Claus. So At The Age Of Twelve, Burroughs Found Himself Amidst Victorian Squalor Living With The Doctor’S Bizarre Family, And Befriending A Pedophile Who Resided In The Backyard Shed. The Story Of An Outlaw Childhood Where Rules Were Unheard Of, And The Christmas Tree Stayed Up All Year Round, Where Valium Was Consumed Like Candy, And If Things Got Dull An Electroshock- Therapy Machine Could Provide Entertainment. The Funny, Harrowing And Bestselling Account Of An Ordinary Boy’S Survival Under The Most Extraordinary Circumstances."
3190, Into The Wild ,"In April 1992 A Young Man From A Well-To-Do Family Hitchhiked To Alaska And Walked Alone Into The Wilderness North Of Mt. Mckinley. His Name Was Christopher Johnson Mccandless. He Had Given $25,000 In Savings To Charity, Abandoned His Car And Most Of His Possessions, Burned All The Cash In His Wallet, And Invented A New Life For Himself. Four Months Later, A Party Of Moose Hunters Found His Decomposed Body. How Mccandless Came To Die Is The Unforgettable Story Of Into The Wild.

Immediately After Graduating From College In 1991, Mccandless Had Roamed Through The West And Southwest On A Vision Quest Like Those Made By His Heroes Jack London And John Muir. In The Mojave Desert He Abandoned His Car, Stripped It Of Its License Plates, And Burned All Of His Cash. He Would Give Himself A New Name, Alexander Supertramp, And, Unencumbered By Money And Belongings, He Would Be Free To Wallow In The Raw, Unfiltered Experiences That Nature Presented. Craving A Blank Spot On The Map, Mccandless Simply Threw Away The Maps. Leaving Behind His Desperate Parents And Sister, He Vanished Into The Wild. "
3147,I Know Why The Caged Bird Sings,"Sent By Their Mother To Live With Their Devout, Self-Sufficient Grandmother In A Small Southern Town, Maya And Her Brother, Bailey, Endure The Ache Of Abandonment And The Prejudice Of The Local ""Powhitetrash."" At Eight Years Old And Back At Her Mother’S Side In St. Louis, Maya Is Attacked By A Man Many Times Her Age—And Has To Live With The Consequences For A Lifetime. Years Later, In San Francisco, Maya Learns That Love For Herself, The Kindness Of Others, Her Own Strong Spirit, And The Ideas Of Great Authors (""I Met And Fell In Love With William Shakespeare"") Will Allow Her To Be Free Instead Of Imprisoned.

Poetic And Powerful, I Know Why The Caged Bird Sings Will Touch Hearts And Change Minds For As Long As People Read."
225,"A Child Called ""It"" (Dave Pelzer, #1) ","This Book Chronicles The Unforgettable Account Of One Of The Most Severe Child Abuse Cases In California History. It Is The Story Of Dave Pelzer, Who Was Brutally Beaten And Starved By His Emotionally Unstable, Alcoholic Mother: A Mother Who Played Tortuous, Unpredictable Games--Games That Left Him Nearly Dead. He Had To Learn How To Play His Mother'S Games In Order To Survive Because She No Longer Considered Him A Son, But A Slave; And No Longer A Boy, But An ""It."" Dave'S Bed Was An Old Army Cot In The Basement, And His Clothes Were Torn And Raunchy. When His Mother Allowed Him The Luxury Of Food, It Was Nothing More Than Spoiled Scraps That Even The Dogs Refused To Eat. The Outside World Knew Nothing Of His Living Nightmare. He Had Nothing Or No One To Turn To, But His Dreams Kept Him Alive--Dreams Of Someone Taking Care Of Him, Loving Him And Calling Him Their Son."
